region_name,region_code,reporting_year,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,spr,reporting_pop,pop_in_poverty
East Asia & Pacific,EAP,1989,1.9,0.6209627322114026,0.22450400676907395,0.10483327567466767,0.3169469840708776,2.2225944001294473,0.6385313025474884,1575751898,978483204
East Asia & Pacific,EAP,1990,1.9,0.603790557325941,0.21470089272007487,0.09920883346462792,0.30215754423286595,2.2930167683440197,0.6217357051078728,1601342750,966875631
East Asia & Pacific,EAP,1991,1.9,0.5847380558580486,0.20755944385835615,0.09596326992796438,0.29056613149423893,2.3781658793367777,0.6027357925550688,1626010964,950790490
East Asia & Pacific,EAP,1992,1.9,0.5561888203894659,0.19544312773539754,0.08983998241474023,0.27132494950718006,2.494453106775531,0.5743974423231175,1649361409,917356376
East Asia & Pacific,EAP,1993,1.9,0.5282155857463078,0.18395247675423865,0.08405857980152255,0.2531490946997652,2.6032772453899016,0.5472133308354625,1672056413,883206258
East Asia & Pacific,EAP,1994,1.9,0.4898419826017693,0.15767486335429023,0.06837483391206357,0.21650618115585563,2.7904051614491014,0.5161839585255303,1694530897,830052374
East Asia & Pacific,EAP,1995,1.9,0.43920366423768464,0.1366317616840084,0.057776405140167075,0.1856896089471327,2.9842707889229043,0.48964314656071256,1716439808,753866653
East Asia & Pacific,EAP,1996,1.9,0.39646521031929993,0.12003014675717359,0.04954338262791797,0.1615340512922494,3.20115430580711,0.46784816444335847,1737978733,689048104
East Asia & Pacific,EAP,1997,1.9,0.39444015667119553,0.12148053295077464,0.05086902032216848,0.16381152777296304,3.2797466520467573,0.46662513634007424,1759347988,693957496
East Asia & Pacific,EAP,1998,1.9,0.40702330136222237,0.1294656706054275,0.05536744122117516,0.1752475787045654,3.2531533978781857,0.47790924071515273,1779923043,724470153
East Asia & Pacific,EAP,1999,1.9,0.37246454752707614,0.11535508169833938,0.04881272998729972,0.15689030936128057,3.3927648486244353,0.4547870885622509,1799157886,670122528
East Asia & Pacific,EAP,2000,1.9,0.34649127277261854,0.10602757244697492,0.04453346506338148,0.14384177046126975,3.575089819649493,0.44180330271909796,1817155500,629628522
East Asia & Pacific,EAP,2001,1.9,0.3211531330040477,0.09720107199197174,0.040507354924018225,0.13133310521924102,3.793379644344588,0.42920630341041555,1834250043,589075148
East Asia & Pacific,EAP,2002,1.9,0.28454688846555193,0.08568213994397914,0.0355318183212191,0.11543659714750089,4.128364229686772,0.4114324549596287,1850618618,526587769
East Asia & Pacific,EAP,2003,1.9,0.24687393554694687,0.07010255371118085,0.027784478627327303,0.09308172906708,4.4263943562479575,0.3942997491710131,1866383766,460761506
